HD,constellation,Star,ColorIndex,Distance,AbsMag
25975,Perseus,,0.943,44.1306266549,2.8462995276
25998,Perseus,,0.52,21.3356091316,3.8744747676
26462,Taurus,,0.36,38.6249517188,2.7756602522
26574,Eridanus,Beid,0.327,38.4911470362,1.1131957337
26690,Taurus,,0.366,36.9822485207,2.4500334363
26911,Taurus,,0.4,44.4247001333,3.071877475
26913,Taurus,V891 Tau,0.68,20.8942749687,5.3398634714
26923,Taurus,V774 Tau,0.57,21.186440678,4.6897099932
26965,Eridanus,Keid,0.82,5.0443906376,5.9159564452
26967,Horologium,,1.085,35.9066427289,1.0741259975
27045,Taurus,,0.259,28.677946659,2.6422597369
27290,Dorado,,0.312,20.3004466098,2.7224720375
27371,Taurus,,0.981,47.2366556448,0.2786042901
27383,Taurus,,0.509,42.9737859905,3.6839819164
27397,Taurus,V483 Tau,0.283,44.8229493501,2.3224978514
27442,Reticulum,,1.078,18.234865062,3.1354872306
27459,Taurus,V696 Tau,0.225,47.1698113208,1.8916793046
27628,Taurus,V775 Tau,0.315,45.7247370828,2.4192439152
27697,Taurus,,0.983,46.9704086426,0.4108783072
27749,Taurus,,0.31,47.2366556448,2.2686042901
27786,Perseus,,0.4,41.6666666667,2.6710562086
27819,Taurus,,0.154,44.7227191413,1.5473589961
27901,Taurus,,0.378,49.0196078431,2.5181508371
27934,Taurus,,0.136,47.0145745181,0.8488374495
27946,Taurus,,0.25,44.1501103753,2.0453410317
27962,Taurus,V776 Tau,0.049,45.3514739229,1.017042969
27991,Taurus,,0.509,46.5766185375,3.0991602222
28024,Taurus,,0.263,47.460844803,0.898322678
28052,Taurus,V777 Tau,0.262,47.9386385427,1.0765715205
28226,Taurus,,0.27,47.9616306954,2.3155302965
28305,Taurus,Ain,1.014,47.5285171103,0.1452286774
28307,Taurus,,0.952,48.4027105518,0.4156515859
28319,Taurus,,0.179,45.6829602558,0.1012288078
28355,Taurus,,0.215,49.1883915396,1.5606868932
28485,Taurus,,0.324,43.6109899695,2.3820202736
28527,Taurus,,0.17,44.3655723159,1.5447695586
28546,Taurus,,0.258,44.3458980044,2.2357327311
28556,Taurus,,0.263,45.7875457875,2.0962631702
28677,Taurus,,0.338,44.9438202247,2.7466500766
28910,Taurus,,0.255,46.7508181393,1.3010539229
29085,Eridanus,,0.972,38.1388253242,1.5831634368
29139,Taurus,Aldebaran,1.538,19.9640646836,-0.6312448416
29140,Taurus,,0.184,46.1254612546,0.9302963893
29375,Taurus,,0.312,45.5373406193,2.4881616789
29388,Taurus,,0.122,45.8926112896,0.9612861512
29391,Eridanus,,0.283,29.7619047619,2.8516963869
29399,Reticulum,,1.028,45.9981600736,2.4762976988
29479,Taurus,,0.141,46.533271289,1.7411820775
29488,Taurus,,0.147,48.7567040468,1.2298283018
29503,Eridanus,,1.082,33.5120643432,1.233994094
29645,Perseus,,0.593,31.2207305651,3.4977846933
29678,Camelopardalis,,0.283,45.6204379562,2.6642027491
29859,Taurus,,0.544,49.9251123315,2.6884047465
29875,Caelum,,0.342,20.1328769881,2.9204708
29992,Caelum,,0.391,27.6548672566,2.831142109
30034,Orion,,0.251,48.2392667631,1.9729965105
30121,Camelopardalis,,0.246,49.7017892644,1.8081398819
30495,Eridanus,,0.632,13.3155792277,4.868199685
30562,Eridanus,,0.631,26.5041081368,3.653434026
30606,Eridanus,,0.537,41.5627597672,2.666478115
30652,Orion,,0.484,8.025682183,3.6675902116
31203,Pictor,,0.341,37.078235076,2.7344047323
31204,Pictor,,0.483,32.0718409237,3.8893805543
31295,Orion,,0.085,36.9822485207,1.8000334363
