"HD","Star"
"33664","RX Lep"
"33684","WZ Dor"
"33802",""
"33833",""
"33856",""
"33904",""
"33949",""
"33959","KW Aur"
"33988",""
"34019","R Aur"
"34029","Capella"
"34043",""
"34053",""
"34078","AE Aur"
"34085","Rigel"
"34172",""
"34203",""
"34233",""
"34255",""
"34266",""
"34269","PU Aur"
"34310",""
"34334",""
"34364","AR Aur"
"34411",""
"34452","IQ Aur"
"34499",""
"34503",""
"34538",""
"34557",""
"34559",""
"34578",""
"34642",""
"34649",""
"34658",""
"34721",""
"34721",""
"34759",""
"34787",""
"34790",""
"34797","TX Lep"
"34816",""
"34863",""
"34868",""
"34904",""
"34968",""
"34989",""
"35007",""
"35039",""
"35072",""
"35076",""
"35148",""
"35149",""
"35162",""
"35186",""
"35189",""
"35239",""
"35296",""
"35299",""
"35337",""
"35369",""
"35410",""
"35411",""
"35439","V1086 Ori"
"35468","Bellatrix"
"35497","Elnath"
"35505",""
"35515","SW Col"
"35520",""
"35532",""
"35536",""
"35580",""
"35583",""
"35600",""
"35620",""
"35671",""
"35708",""
"35715","Psi Ori"
"35736",""
"35770",""
"35802",""
"35860",""
"35943",""
"36040",""
"36060",""
"36066",""
"36079","Nihal"
"36134",""
"36162",""
"36166",""
"36167","CI Ori"
"36175",""
"36175",""
"36187",""
"36189",""
"36189",""
"36217","CK Ori"
"36267",""
"36351",""
"36371",""
"36389","CE Tau"
"36473",""
"36485",""
"36486","Mintaka"
"36512",""
"36553",""
"36570",""
"36576","V960 Tau"
"36591",""
"36597",""
"36653",""
"36673","Arneb"
"36678",""
"36695","VV Ori"
"36734",""
"36777",""
"36780",""
"36819",""
"36822",""
"36848",""
"36861","Meissa"
"36862",""
"36874",""
"36881",""
"36959",""
"36960",""
"37017","V1046 Ori"
"37018",""
"37020","V1016 Ori"
"37021","BM Ori"
"37022",""
"37023",""
"37041",""
"37043",""
"37070",""
"37077",""
"37128","Alnilam"
"37147",""
"37160",""
"37171",""
"37192",""
"37202",""
"37209",""
"37269",""
"37289",""
"37297",""
"37320",""
"37350",""
"37367",""
"37430",""
"37434","TX Pic"
"37438",""
"37468",""
"37479","V1030 Ori"
"37481",""
"37490",""
"37495",""
"37507",""
"37536","NO Aur"
"37594",""
"37601",""
"37638",""
"37711",""
"37717",""
"37742","Alnitak"
"37743",""
"37756",""
"37763",""
"37788",""
"37795","Phact"
"37808","V1051 Ori"
"37811",""
"37967","V731 Tau"
"37984",""
"37993","WX Men"
"38089",""
"38090",""
"38091",""
"38099","V1197 Ori"
"38104",""
"38129",""
"38170",""
"38206",""
"38307","Y Tau"
"38392",""
"38393",""
"38478",""
"38527",""
"38529",""
"38545",""
"38558",""
"38602",""
"38618",""
"38622",""
"38656",""
"38666",""
"38678",""
"38710",""
"38735","V1031 Ori"
"38751",""
"38771","Saiph"
"38831",""
"38858",""
"38871",""
"38899",""
"38944",""
"39003",""
"39004",""
"39007",""
"39014",""
"39019",""
"39051",""
"39060",""
"39070",""
"39091",""
"39118",""
"39190",""
"39220","TU Cam"
"39283",""
"39286",""
"39291",""
"39317","V809 Tau"
"39357",""
"39364",""
"39400",""
"39421",""
"39425","Wazn"
"39523",""
"39586",""
"39587",""
"39640",""
"39698",""
"39720",""
"39764",""
"39775",""
"39780","TZ Men"
"39801","Betelgeuse"
"39810",""
"39816","U Ori"
"39844",""
"39853",""
"39910",""
"39937",""
"39985",""
"40020",""
"40035",""
"40084",""
"40091",""
"40111",""
"40136",""
"40151",""
"40176",""
"40183","Menkalinan"
"40239",""
"40248",""
"40292",""
"40312",""
"40369",""
"40372","V1004 Ori"
"40394",""
"40409",""
"40446",""
"40486",""
"40494",""
"40535","V474 Mon"
"40536",""
"40657",""
"40724",""
"40733",""
"40801",""
"40808",""
"40873",""
"40932",""
"40953",""
"40967",""
"41040",""
"41047",""
"41074",""
"41116",""
"41117",""
"41214",""
"41312",""
"41335",""
"41357",""
"41361",""
"41380",""
"41511","SS Lep"
"41534",""
"41543",""
"41547",""
"41586","SW Pic"
"41597",""
"41692",""
"41695",""
"41698","S Lep"
"41742",""
"41753",""
"41759",""
"41841",""
"41843",""
"41927",""
"41933",""
"42042",""
"42049",""
"42054",""
"42078",""
"42087",""
"42111",""
"42126",""
"42127",""
"42167",""
"42216",""
"42301",""
"42303",""
"42341",""
"42398",""
"42443",""
"42471",""
"42475","TV Gem"
"42509",""
"42525",""
"42536","V653 Mon"
"42540",""
"42543","BU Gem"
"42545",""
"42560",""
"42621",""
"42633",""
"42657","V638 Mon"
"42682",""
"42690",""
"42818",""
"42933",""
"42954",""
"42973","UW Lyn"
"42995","Propus"
"43023",""
"43039",""
"43042",""
"43107",""
"43112",""
"43153",""
"43157",""
"43232",""
"43244",""
"43247",""
"43261",""
"43318",""
"43378","UZ Lyn"
"43380",""
"43384",""
"43386",""
"43396",""
"43429",""
"43445",""
"43445",""
"43455",""
"43525",""
"43544",""
"43587",""
"43740",""
"43749",""
"43760",""
"43785",""
"43812",""
"43818",""
"43819","V1155 Ori"
"43827",""
"43834",""
"43834",""
"43836",""
"43847",""
"43899",""
"43905",""
"43940",""
"43955",""
"43993",""
"44033",""
"44081",""
"44112",""
"44131",""
"44323",""
"44402","Furud"
"44458","FR CMa"
"44478",""
"44497",""
"44506",""
"44537",""
"44639",""
"44691","RR Lyn"
"44708",""
"44743","Mirzam"
"44762",""
"44769",""
"44770",""
"44951",""
"44984","BL Ori"
"44990","T Mon"
"45018",""
"45067",""
"45145",""
"45229",""
"45291",""
"45320",""
"45348","Canopus"
"45352",""
"45392",""
"45392",""
"45394",""
"45410",""
"45412","RT Aur"
"45415",""
"45416",""
"45418",""
"45433",""
"45466",""
"45542",""
"45546",""
"45557",""
"45572",""
"45669",""
"45725",""
"45726",""
"45727",""
"45765",""
"45813",""
"45866",""
"45871",""
"45976",""
"45984",""
"46031",""
"46052","WW Aur"
"46089",""
"46101",""
"46116",""
"46136",""
"46184",""
"46189",""
"46229",""
"46241",""
"46273",""
"46300",""
"46304",""
"46328",""
"46349",""
"46355",""
"46374",""
"46431","SX Col"
"46480",""
"46487",""
"46509",""
"46547",""
"46553",""
"46568",""
"46569",""
"46588",""
"46590",""
"46642",""
"46687","UU Aur"
"46709",""
"46769",""
"46781",""
"46815",""
"46860",""
"46933",""
"46936",""
"47054",""
"47070",""
"47100",""
"47105","Alhena"
"47129","V640 Mon"
"47138",""
"47144",""
"47152",""
"47174",""
"47182",""
"47205",""
"47306",""
"47395",""
"47442",""
"47500",""
"47536",""
"47575",""
"47667",""
"47670",""
"47731",""
"47839","S Mon"
"47914",""
"47946",""
"47964",""
"47973",""
"48097",""
"48217",""
"48250",""
"48329","Mebsuta"
"48432",""
"48433",""
"48434",""
"48450",""
"48682",""
"48737",""
"48781",""
"48843",""
"48879",""
"48915","Sirius"
"48917","FT CMa"
"48977",""
"49048",""
"49095",""
"49131","HP CMa"
"49147",""
"49161",""
"49229",""
"49293",""
"49331",""
"49333","HK CMa"
"49336","V339 Pup"
"49340",""
"49380","IS Gem"
"49434",""
"49517",""
"49520",""
"49591",""
"49606","OV Gem"
"49618",""
"49643",""
"49662",""
"49689",""
"49738",""
"49877",""
"49878",""
"49908",""
"49933",""
"49968",""
"49976","V592 Mon"
"49980",""
"50013",""
"50018","OX Aur"
"50019",""
"50037",""
"50123",""
"50204",""
"50223",""
"50223",""
"50235",""
"50241",""
"50277",""
"50310",""
"50337","V415 Car"
"50420","V352 Aur"
"50445",""
"50506",""
"50522",""
"50635",""
"50644",""
"50658",""
"50692",""
"50707","EY CMa"
"50747",""
"50763",""
"50778",""
"50877",""
"50885",""
"50896","EZ CMa"
"50973",""
"51000",""
"51055",""
"51104",""
"51199",""
"51208","NP Pup"
"51250",""
"51283",""
"51309",""
"51440",""
"51530",""
"51557",""
"51630","HH CMa"
"51688",""
"51733",""
"51799",""
"51802","OV Cep"
"51814",""
"52005",""
"52018",""
"52089","Adhara"
"52092",""
"52312",""
"52437","FU CMa"
"52497",""
"52554","NP Gem"
"52556",""
"52609",""
"52666",""
"52670",""
"52711",""
"52877",""
"52913",""
"52918","V637 Mon"
"52960",""
"52973","Mekbuda"
"53047",""
"53138",""
"53208",""
"53244","Muliphein"
"53257",""
"53329",""
"53501",""
"53510",""
"53633",""
"53686",""
"53704",""
"53705",""
"53755","V569 Mon"
"53791","R Gem"
"53811",""
"53921",""
"53974","FN CMa"
"54079",""
"54118","V386 Car"
"54131",""
"54239",""
"54309","FV CMa"
"54475",""
"54605","Wezen"
"54716",""
"54719",""
"54732",""
"54801",""
"54810",""
"54893",""
"54895","UY Lyn"
"54912",""
"55052",""
"55057","V571 Mon"
"55070",""
"55156",""
"55185",""
"55280",""
"55344",""
"55383","BQ Gem"
"55522",""
"55526",""
"55575",""
"55589",""
"55595","HN CMa"
"55621",""
"55719",""
"55730",""
"55751",""
"55762",""
"55775",""
"55832",""
"55857","GY CMa"
"55864",""
"55865",""
"55866",""
"55870",""
"55879",""
"55892","QW Pup"
"55958","GG CMa"
"55966","VZ Cam"
"56003",""
"56014","EW CMa"
"56022","OU Pup"
"56031",""
"56096","L2 Pup"
"56139",""
"56160",""
"56169",""
"56207",""
"56221",""
"56342",""
"56405",""
"56410",""
"56455","PR Pup"
"56456",""
"56537",""
"56577",""
"56578",""
"56618",""
"56705",""
"56733",""
"56779",""
"56813",""
"56820",""
